state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
20,MADHYA PRADESH,860,KRISHI UPAJ MANDI SAMITI-KARELI,2020-05-01
20,MADHYA PRADESH,863,KRISHI UPAJ MANDI SAMITI-KHURAI,2020-05-01
20,MADHYA PRADESH,853,KRISHI UPAJ MANDI SAMITI-KARHI,2020-05-01
20,MADHYA PRADESH,866,KRISHI UPAJ MANDI SAMITI-KOLARAS,2020-05-01
20,MADHYA PRADESH,857,KRISHI UPAJ MANDI SAMITI-KUKSHI,2020-05-01
20,MADHYA PRADESH,864,KRISHI UPAJ MANDI SAMITI-KUMBHRAJ,2020-05-01
20,MADHYA PRADESH,865,KRISHI UPAJ MANDI SAMITI-LASHKAR,2020-05-01
20,MADHYA PRADESH,867,KRISHI UPAJ MANDI SAMITI-NAGOD,2020-05-01
20,MADHYA PRADESH,845,KRISHI UPAJ MANDI SAMITI-NASRULLAGANJ,2020-05-01
20,MADHYA PRADESH,847,KRISHI UPAJ MANDI SAMITI-RAISEN,2020-05-01
20,MADHYA PRADESH,862,KRISHI UPAJ MANDI SAMITI-PANDHURNA,2020-05-01
20,MADHYA PRADESH,851,KRISHI UPAJ MANDI SAMITI-SANAWAD,2020-05-01
20,MADHYA PRADESH,861,KRISHI UPAJ MANDI SAMITI-SAUNSAR,2020-05-01
20,MADHYA PRADESH,855,KRISHI UPAJ MANDI SAMITI-SHIVPURI,2020-05-01
20,MADHYA PRADESH,868,KRISHI UPAJ MANDI SAMITI-SINGRAULI,2020-05-01
20,MADHYA PRADESH,3924,KURAWAR,2022-07-01
20,MADHYA PRADESH,846,KRISHI UPAJ MANDI SAMITI-UDAIPURA,2020-05-01
20,MADHYA PRADESH,4078,LAVKUSHNAGAR,2022-07-01
20,MADHYA PRADESH,402,MAHIDPUR,2018-10-01
20,MADHYA PRADESH,142,MANDSAUR,2018-10-01
20,MADHYA PRADESH,469,MANDLA,2018-10-01
20,MADHYA PRADESH,4088,MAIHAR,2022-07-01
20,MADHYA PRADESH,417,MHOW,2018-10-01
20,MADHYA PRADESH,143,NEEMUCH,2018-10-01
20,MADHYA PRADESH,463,MORENA,2018-10-01
20,MADHYA PRADESH,388,OBAIDULLAGANJ,2018-10-01
20,MADHYA PRADESH,3925,NARSINGHGARH,2022-07-01
20,MADHYA PRADESH,4098,MUNGAOLI,2022-07-01
20,MADHYA PRADESH,4066,NIWARI,2022-07-01
20,MADHYA PRADESH,4061,PACHORE,2022-07-01
20,MADHYA PRADESH,4156,PALARI,2022-07-01
20,MADHYA PRADESH,4083,PANNA,2022-07-01
20,MADHYA PRADESH,144,PIPARIYA,2018-10-01
20,MADHYA PRADESH,4074,PATHARIA,2022-07-01
20,MADHYA PRADESH,4067,PETLAWAD,2022-07-01
20,MADHYA PRADESH,4068,PIPALIYA,2022-07-01
20,MADHYA PRADESH,145,RATLAM,2018-10-01
20,MADHYA PRADESH,3927,RAJGARH,2022-07-01
20,MADHYA PRADESH,4072,RAHATGARH,2022-07-01
20,MADHYA PRADESH,147,SAGAR,2018-10-01
20,MADHYA PRADESH,4062,RAJNAGAR,2022-07-01
20,MADHYA PRADESH,146,REWA,2018-10-01
20,MADHYA PRADESH,394,SANWER,2018-10-01
20,MADHYA PRADESH,148,SATNA,2018-10-01
20,MADHYA PRADESH,4092,REHLI,2022-07-01
20,MADHYA PRADESH,412,SEHORA,2018-10-01
20,MADHYA PRADESH,149,SEHORE,2018-10-01
20,MADHYA PRADESH,4069,SEGAON,2022-07-01
20,MADHYA PRADESH,462,SENDHWA,2018-10-01
20,MADHYA PRADESH,3911,SEMRI HARCHAND,2022-07-01
20,MADHYA PRADESH,467,SEONI,2018-10-01
20,MADHYA PRADESH,413,SHAHPURA BHITONI,2018-10-01
20,MADHYA PRADESH,420,SHAJAPUR,2018-10-01
20,MADHYA PRADESH,4093,SHAHDOL,2022-07-01
20,MADHYA PRADESH,404,SHUJALPUR,2018-10-01
20,MADHYA PRADESH,464,SHEOPURKALAN,2018-10-01
20,MADHYA PRADESH,4082,SILWANI,2022-07-01
20,MADHYA PRADESH,4094,SIDHI,2022-07-01
20,MADHYA PRADESH,3910,SIRALI,2022-07-01
20,MADHYA PRADESH,4071,SIRONJ,2022-07-01
20,MADHYA PRADESH,335,TIKAMGARH,2018-10-01
20,MADHYA PRADESH,391,TIMARNI,2018-10-01
20,MADHYA PRADESH,4155,THANDLA,2022-07-01
20,MADHYA PRADESH,4070,SONKATCH,2022-07-01
20,MADHYA PRADESH,150,UJJAIN,2018-10-01
20,MADHYA PRADESH,151,VIDISHA,2018-10-01
296,MAHARASHTRA,1022,AAMGAON,2020-05-01
296,MAHARASHTRA,308,AATPADI,2018-10-01
20,MADHYA PRADESH,4095,UMARIA,2022-07-01
296,MAHARASHTRA,471,ACHALPUR,2018-10-01
296,MAHARASHTRA,459,AHERI,2018-12-01
296,MAHARASHTRA,401,AHMEDNAGAR,2018-10-01
296,MAHARASHTRA,299,AKOLA,2018-10-01
296,MAHARASHTRA,566,AMALNER,2018-10-01
296,MAHARASHTRA,405,AMARAVATHI,2018-10-01
296,MAHARASHTRA,1023,AKOT,2020-04-01
296,MAHARASHTRA,567,ANJANGAON SURJI,2018-10-01
296,MAHARASHTRA,460,ARJUNI MORGOAN,2018-10-01
296,MAHARASHTRA,1024,AMBEJOGAI,2020-05-01
296,MAHARASHTRA,303,AURANGABAD,2019-07-01
296,MAHARASHTRA,1025,ARVI,2020-05-01
296,MAHARASHTRA,1026,AUSA,2020-05-01
296,MAHARASHTRA,470,Basmat,2018-10-01
296,MAHARASHTRA,1027,BARAMATI,2020-04-01
296,MAHARASHTRA,461,BARSHI,2018-10-01
296,MAHARASHTRA,408,BEED,2018-10-01
296,MAHARASHTRA,456,BHOKAR,2018-10-01
296,MAHARASHTRA,1028,BHIWAPUR,2020-05-01
296,MAHARASHTRA,1029,CHALISGAON,2020-05-01
296,MAHARASHTRA,568,CHANDRAPUR,2018-10-01
296,MAHARASHTRA,1030,CHAMORSHI,2020-05-01
296,MAHARASHTRA,1031,CHANDUR BAZAR,2020-05-01
296,MAHARASHTRA,587,CHOPADA,2018-10-01
